No.,Brand,Product Name,Large Product Category,Small Product Category,Product Image URL,Product Price,Currency,Product URL,Product Features,Call To Action,Region,Target,Age,Business Hours,Review/Evaluation Information,備考
1,レジーナクリニック,レジーナクリニック,脱毛サービス,医療脱毛クリニック,https://storage.googleapis.com/jupiter-static-prd/images/6522/8298/7d5da366-859d-4ff0-ad50-7d96e3d74e55.png,"全身1,400円(税込)～",JPY,https://t.felmat.net/fmcl?ak=P1470N.1.71125268.U85710A&openExternalBrowser=1,専門の美容皮膚科で脱毛施術を提供。知識、技術、経験に基づく美容医療で患者の笑顔を目指し、美容業界の向上と毛の悩みを持つ全ての人に笑顔をもたらすことに努めています。,無料カウンセリング予約はこちら▷,"北海道,宮城県,東京都,神奈川県,埼玉県,千葉県,静岡県,愛知県,京都府,大阪府,兵庫県,広島県,福岡県","・美容・アンチエイジングに関心のある人
・身体の形を整えたい人
・顔のバランスを整えたい人
・安全で信頼性の高い美容医療を求める人",,"月〜金：12:00〜21:00
土日祝日：11:00〜20:00
休診日：なし（年末年始、臨時休診日を除く）","
神奈川県　25歳
カウンセリングの時に脱毛可能箇所を詳しく説明してくれた。他クリニックでは口頭のみの説明でおわらせるところもあったので良かった。

東京都　27歳
スタッフの対応が好印象で、予約も取りやすいから予定が組みやすい。

兵庫県　29歳
全身脱毛をするなら、医療脱毛の中でもかなり安い。","ターゲットソース
GPT4

口コミソース
https://www.remvy.jp/lp/best3-renewal/regina?gclid=CjwKCAjwitShBhA6EiwAq3RqA06flKKaa6SARxv9xBTXYKc_krWmSs4Ig_pu32MYTXPUweWW3lqCsBoCsEMQAvD_BwE"
2,フレイア,フレイアクリニック,脱毛サービス,医療脱毛クリニック,https://storage.googleapis.com/jupiter-static-prd/images/6522/8298/6b4a5948-8146-42a2-8ffc-d3e8f43e5349.png,全身脱毛セット月々2900円〜,JPY,https://t.felmat.net/fmcl?ak=X3311Q.1.W1125278.U85710A&openExternalBrowser=1,蓄熱式脱毛で痛み少なく、様々な肌毛質対応。褐色肌も相談可。医療従事者が照射・アフターケア。解約手数料0円。追加費用なしの医師診察・カウンセリング提供。,無料カウンセリング予約はこちら▷,"北海道,東京都,神奈川県,埼玉県,静岡県,愛知県,京都府,大阪府,福岡県,沖縄県,千葉県（今夏開院予定）","・脱毛を短時間で終わらせたい方
・痛みが不安な方
・追加料金なしで通いたい方
・まとまった 時間を取れない方
・仕事帰りに通いたい方",,"月〜金：12:00～21:00
土日祝日：11:00～20:00
休診日：（年末年始、臨時休業日を除く）","30代　女性
全身脱毛で効果を実感し、産毛もなくなり満足。

20代　女性
医師とスタッフの対応が丁寧で、無料の麻酔サービスが安心。

20代　女性
肌が敏感でも痛みがなく、施術中は暖かいだけで驚き。","口コミソース
https://www.beauty-park.jp/column/os00029/"
3,ラココ,LACOCO,脱毛サービス,エステ脱毛,https://storage.googleapis.com/jupiter-static-prd/images/1849/3273/b6899af7-310b-4f9a-a31d-730006aa9919.png,"全身脱毛月額3,300円(税込)~",JPY,https://la-coco.com/lp/cln_m3_220204_sp_b/?dmai=CL_LC_BA_GA71&argument=ZSbMdhQH&utm_source=google&utm_medium=cpc&utm_campaign=00.Brand&utm_content=00.Brand&hc_ak=JV7V2.3.6IP2W&gclid=CjwKCAjwitShBhA6EiwAq3RqAy1ONF4v3S86ZvvUnk3aAu3U3MpaZ_wiLB6RYYAn-bEvkUu3AqFnBRoCJQMQAvD_BwE,脱毛機メーカーがプロデュースするサロン。30年の経験で最適な提案。最短30分全身脱毛。早く、痛くなく、熱くない「ルミクス脱毛」採用。,無料カウンセリング予約はこちら▷,"北海道,福島県,宮城県,東京都,神奈川県,埼玉県,茨城県,千葉県,栃木県,群馬県,石川県,山梨県,富山県,静岡県,愛知県,岐阜県,京都府,大阪府,奈良県,兵庫県,香川県,鳥取県,岡山県,広島県.愛媛県,徳島県,長崎県,宮崎県,熊本県,福岡県,沖縄県","・短期間で全身脱毛を終わらせたい
・痛みを感じたくない
・完全個室での施術が希望
・産毛や薄い毛までしっかり脱毛をしたい
・日焼け肌・色黒肌で他のサロンで脱毛を断られた",,"平日10:00～21:00 / 最終受付20:00
土日祝10:00～21:00 / 最終受付20:00
※地域によって閉店時間が早い可能性あり","50代　女性
スタッフ対応が良く、立地条件も良い。

40代　女性
対応の差が激しく、技術に問題があり、金額が不明確。

20代　女性
お試しキャンペーン価格で安く契約、駅近で通いやすい。","ターゲットソース：https://www.beauty-navi.com/media/lacoco-review/#i-11

口コミソース：https://www.ozmall.co.jp/datsumou/article/26133/#3"
4,エミナル,エミナルクリニック,脱毛サービス,医療脱毛クリニック,https://storage.googleapis.com/jupiter-static-prd/images/flex_message/e0bb1edb-c8a9-4fdb-b5b5-d88b4667f5d7.png,全身脱毛5回98000円~,JPY,https://ac.finebind.jp/5e1e58h452OaO9a2/cl/?bId=30f2z6b4&openExternalBrowser=1,女性の悩み解決を目指し開院。医師問診・親身カウンセリング、低価格痛くない脱毛、予約取りやすさ、途中解約可、保障制度、無料肌トラブル対応。,無料カウンセリング予約はこちら▷,"北海道,青森県,秋田県,岩手県,宮城県,福島県,東京都,神奈川県,千葉県,埼玉県,茨城県,群馬県,栃木県,新潟県,富山県,石川県,福井県,長野県,岐阜県,静岡県,愛知県,三重県,大阪府,京都府,兵庫県,奈良県,和歌山県,広島県,岡山県,徳島県,香川県,愛媛県,高知県,福岡県,長崎県,大分県,熊本県,鹿児島県,宮崎県,沖縄県","・安全で信頼できる美容医療を試したい人
・安く医療脱毛を受けたい人
・痛みが少ない医療脱毛をしたい人",,"診療時間：10:00～20:00
定休日：不定休
※店舗により異なる","30代　女性
コストパフォーマンスが良く、清潔なクリニック内。

40代　女性
プライバシー重視、医師が対応し相談可能、返金補償で安心。

40代　女性
リーズナブルな価格、高い費用対効果。","ターゲットソース：https://kc-clinic.jp/medichoice/eminal-clinic/#index_id24
口コミソース：https://ekimae-hifuka.net/media/11955"
5,ミュゼ,ミュゼプラチナム,脱毛サービス,エステ脱毛,https://storage.googleapis.com/jupiter-static-prd/images/6522/8298/c7e97557-84e8-493c-bf37-6adb0ab39afd.png,100円,JPY,https://musee-pla.com/lp/mo/lp_ipBa/?utm_source=mybeauty_zea&utm_medium=aff&utm_content=brand&utm_campaign=AD&argument=Pw7X2bH6&dmai=zea_000003&openExternalBrowser=1,駅近で夜遅く営業、全国170店舗。オリコン顧客満足度3年連続優秀。100円からの高品質脱毛、美肌脱毛技術、予約取りやすさ、無理な勧誘なし、解約手数料なしが人気。,無料カウンセリング予約はこちら▷,"北海道,青森県,岩手県,宮城県,秋田県,山形県,福島県,茨城県,栃木県,群馬県,埼玉県,千葉県,東京都,神奈川県,新潟県,富山県,石川県,福井県,山梨県,長野県,岐阜県,静岡県,愛知県,三重県,滋賀県,京都府,大阪府,兵庫県,奈良県,和歌山県,鳥取県,島根県,岡山県,広島県,山口県,徳島県,香川県,愛媛県,高知県,福岡県,佐賀県,長崎県,熊本県,大分県,宮崎県,鹿児島県,沖縄県","・キャンペーン利用などで試しに脱毛してみたい人
・できるだけ少ない痛みで脱毛施術を受けたい人
・スケジュールや気分に合わせて様々な店舗を利用したい人",,"土日祝：10:00～21:00
平日：10:00～20:00
※店舗により異なる","寒い全身脱毛でも、2人体制で手際良く施術が行われ助かった。

学生でお金がないが、キャンペーンだけの契約でも快く対応された。

通い始めて数年で、脱毛箇所の自己処理がほとんど不要なほど薄くなった。","ターゲットソース；https://familyclinic-hiroshima.com/article/museeplatinum-review/#index_id8

口コミソース：https://familyclinic-hiroshima.com/article/museeplatinum-review/#menu1"
6,ストラッシュ,ストラッシュ,脱毛サービス,エステ脱毛,https://storage.googleapis.com/jupiter-static-prd/images/6522/8298/277c9b6b-0c51-4972-839e-b84c0ba4865e.png,"全身脱毛が月額4,400円（税込）から",JPY,https://www.rentracks.jp/adx/r.html?idx=0.46821.310282.6664.9535&dna=118732&openExternalBrowser=1,2015年創業、理想の脱毛サロンを目指し高品質・低価格提供。SHR脱毛・IPL脱毛・STスーパージェルを組み合わせたISGトリプルアタック脱毛採用。,無料カウンセリング予約はこちら▷,"北海道,宮城県,茨城県,栃木県,埼玉県,千葉県,東京都,神奈川県,新潟県,静岡県,愛知県,京都府,大阪府,兵庫県,奈良県,岡山県,広島県,福岡県,熊本県,鹿児島県,沖縄県","・通い放題が良い人
・痛みが苦手な人
・自分の好きな回数・部位を契約したい人",,"12:00～21:00
※店舗により異なる","20代　女性
前日キャンセルが無料で、予定変更時に助かる。

20代　女性
どのスタッフも丁寧に施術し、シェービングのアドバイスや手伝いが嬉しい。

30代　女性
シェービングが面倒だが、追加料金なしでクリニックでシェービングしてもらえて楽。","ターゲットソース；https://familyclinic-hiroshima.com/article/stlassh-review/

口コミソース：https://erevista.co.jp/media/stlassh/"
7,じぶんクリニック,じぶんクリニック,脱毛サービス,医療脱毛クリニック,https://storage.googleapis.com/jupiter-static-prd/images/7428/9446/4ec4c899-04f6-4d6a-bb8d-8c53e121670c.png,"全身+VIO医療脱毛7,7000円(税込)~",JPY,https://lp.jibun-clinic.com/01c/?utm_source=google&utm_medium=cpc&utm_campaign=brand&utm_content=wdatsumo1900yen&cq_cmp=15060556292&utm_term=%E8%87%AA%E5%88%86%20%E3%82%AF%E3%83%AA%E3%83%8B%E3%83%83%E3%82%AF&cq_plt=gp&gclid=CjwKCAjwitShBhA6EiwAq3RqA-8q3rZ40fuGUEXztcOoam4GPqWLwLWYbqnwBnVcnTVjUXxG05aHUhoCHM0QAvD_BwE,個性尊重の脱毛。寄り添った脱毛スタイル提案。2種類先進医療レーザー脱毛機、看護師が選定。高い脱毛効果、痛み抑制。痛みに敏感な方も安心施術。,無料カウンセリング予約はこちら▷,"北海道,宮城県,埼玉県,千葉県,東京都,神奈川県,石川県,愛知県,大阪府,兵庫県,広島県,福岡県","・医療脱毛とエステ脱毛、どちらにするか決められない人
・効率的に脱毛したい人
・肌への負担が気になる人
・毎月の支払額を抑えたい人",,"診療時間：11:00-20:00
定休日：店舗により異なる","20代　女性
医療脱毛が安く、最初に回数分の予約が取れたのが便利。

30代　女性
施術が丁寧で効率も良かった。また、院内が清潔で黄色基調でとても可愛い。効果を期待して通いたいと思います。

20代　女性
専門知識のあるお医者さんに肌の調子などをみてもらえたのが好印象でした。普通のエステ脱毛では医者の方はいないと思うので、安心できるなと思いました。","ターゲットソース；hhttps://sakura-forest.com/beauty/jibun-clinic-review/#%E3%81%98%E3%81%B6%E3%82%93%E3%82%AF%E3%83%AA%E3%83%8B%E3%83%83%E3%82%AF%E3%81%8C%E5%90%91%E3%81%84%E3%81%A6%E3%81%84%E3%82%8B%E4%BA%BA%E3%81%A8%E3%81%AF

口コミソース：https://erevista.co.jp/media/jibun-clinic-hyouban/#i-6"
8,銀座カラー,銀座カラー,脱毛サービス,エステ脱毛,https://storage.googleapis.com/jupiter-static-prd/images/flex_message/d59dd84c-7cb6-45e2-b140-0a027fbd66cb.png,"全身+VIO脱毛59,400円(税込)~",JPY,https://ginza-calla.jp/,お客様ファースト。美容皮膚科医認めるIPL脱毛。創業29年、AI診断で最適施術。6種類美容成分、保湿マシンで充実アフターケア。キレイづくりサポート。,無料カウンセリング予約はこちら▷,"岩手県,茨城県,栃木県,群馬県,埼玉県,千葉県,東京都,神奈川県,新潟県,岐阜県,静岡県,愛知県,大阪府,兵庫県","・大手サロンでサクサク脱毛を進めたい人
・濃く太い毛で悩んでいる人
・頻繁に施術を受けたい人",,"平日：12：00～21：00
土日祝：10：00～19：00","10代　女性
初めての全身脱毛で緊張していましたが、担当の方がとても丁寧に施術してくださったので安心して利用できました。
少し寒いかなと思っていたときに毛布の追加があったり、体勢が変わるごとに声をかけてくださるので嬉しかったです。

20代　女性
全身の施術がいつも早いので、ウトウトしているうちに終わってしまいます。その時の予定に合わせて何店舗か行きましたが、どこも気持ちの良い接客・サービスでした。

20代　女性
全身・顔ともに、少しずつ脱毛効果も実感し始めてきたので嬉しいです。
無制限で通えるので、理想の肌になるまで定期的に通いたいと思います。","ターゲットソース；https://preventme.co.jp/media/ginza-calla-kuchikomi/#%E9%8A%80%E5%BA%A7%E3%82%AB%E3%83%A9%E3%83%BC%E3%81%AE%E6%96%BD%E8%A1%93%E3%81%8C%E5%90%91%E3%81%84%E3%81%A6%E3%81%84%E3%82%8B%E4%BA%BA

口コミソース：https://ginza-calla.jp/voice/"
9,ビーエスコート,ビー・エスコート,脱毛サービス,エステ脱毛,https://storage.googleapis.com/jupiter-static-prd/images/7119/9031/62b21d16-4a60-4337-9b8d-ea9c1d2a7deb.png,両脇脱毛22円~,JPY,https://www.be-escort.com/,女性専用美容脱毛サロン。女性スタッフ、JEM認定店。創業22年、総会員数約50万人の大手サロン。,無料カウンセリング予約はこちら▷,"埼玉県,千葉県,東京都,神奈川県,山梨県,長野県,石川県,岐阜県,静岡県,愛知県,三重県,滋賀県,京都府,兵庫県,岡山県,広島県,沖縄県","・安さを重視する人
・脱毛箇所を細かく選びたい人",,"平日・土曜日/11:00～20:00
日曜日・祝日/10:00～18:00","20代　女性
スタッフさんが親切かつフレンドリーで、相談しやすい。毛や肌の状態も見ながら施術してくれるので、安心して任せられる。

30代　女性
カウンセリングした方の対応が良かった。全国でも大会があるらしく意識の高さを感じた。施術の声掛けも丁寧で良いと思う。

20代　女性
肌トラブルが起きないよう、普段のスキンケアや自己処理の方法についてアドバイスをもらった。スタッフの方がとても優しくて、よく話を聞いてもらい、納得するプランで契約ができた。","ターゲットソース：https://beauty.biglobe.ne.jp/datsumou/beescort/

クチコミソース：https://datsumo.ameba.jp/be-escort/kuchikomi/"
10,ミラクリニック,ミラクリニック,脱毛サービス,医療脱毛クリニック,https://storage.googleapis.com/jupiter-static-prd/images/7015/8825/3525ca4f-eb97-4dde-9a8b-22aef87e6944.jpg,"全身医療脱毛が月額1,800円（税込）から",JPY,https://mila-clinic.com/,痛みが少ない医療脱毛を提供。次世代ダイオードレーザー式脱毛器で、痛み軽減、短い施術時間、うぶ毛対応が可能。肌へのダメージも少ない。,無料カウンセリング予約はこちら▷,"東京都,神奈川県,愛知県,京都府,大阪府,兵庫県,福岡県","・脱毛時の痛みが心配な人
・太い毛だけでなく産毛も脱毛したい人
・日焼け肌や地黒の人
・コスパを重視する人",,"
11:00～20:00
定休日なし","20代　女性
近々オープンするクリニックなので心配な面はありましたが、丁寧に施術してくれて痛みもほとんどなく満足しています

30代　女性
色黒を理由に他のクリニックの施術を断られたので、色黒でも大丈夫なミラクリニックに決めました。今後も全身脱毛をやっていこうと思います。

20代　女性
アトピー持ちですがお肌の状態を見ながら施術してもらえました。施術前にはしっかり診察してもらえるので安心です。","ターゲットソース：https://se-ec.co.jp/find_best/datsumou/clinic/mila-clinic/

口コミソース：https://tahiti.co.jp/media/beauty/mila-clinic"
